"error_notification","уведомление об ошибке"
"pfr_cert_reg","регистраци€ сертификатов"
"pfr_cert_reg_rec","подтверждение получени€ сертификатов"
"pfr_failer_save","протокол до сбо€"
"pfr_letter","неформализованное сообщение"
"pfr_letter_rec","извещение о доставке неформализованного сообщени€"
"pfr_protocol","протокол проверки"
"pfr_protocol_rec","квитанци€ о получении протокола"
"pfr_protocol_t","предварительный протокол проверки"
"pfr_report","документ в ѕ‘ –‘"
"pfr_req_result","ответ на запрос"
"pfr_req_result_rec","квитанци€ о получении ответа на запрос"
"pfr_req_time_receipt","извещение о доставке запроса"
"pfr_request","запрос"
"pfr_time_receipt","извещение о доставке"
